CD114_Name,FIPS,State_FIPS,CD114_FIPS,StateCode,long,lat
MI-08,2608,26,08,MI,-83.9404057082346,42.647620633748
MI-14,2614,26,14,MI,-83.2078300130631,42.4789933276867
MI-05,2605,26,05,MI,-83.7779507514065,43.6882655486138
MI-03,2603,26,03,MI,-85.2443837909302,42.7165696472743
MI-07,2607,26,07,MI,-84.3301824200603,42.1011040101206
MI-02,2602,26,02,MI,-85.9936462237275,43.5129877498885
MI-11,2611,26,11,MI,-83.4515473623232,42.5347783544734
MI-04,2604,26,04,MI,-84.7509364155265,43.7346032964962
MI-01,2601,26,01,MI,-85.9500300659478,45.5568729631678
MI-09,2609,26,09,MI,-83.0458383538814,42.5312340500125
MI-13,2613,26,13,MI,-83.2358644968607,42.3227002305177
MI-06,2606,26,06,MI,-85.9009807949615,42.1876444738707
MI-12,2612,26,12,MI,-83.4562700772497,42.2123644796971
MN-06,2706,27,06,MN,-93.8551663664032,45.3343233725092
MN-05,2705,27,05,MN,-93.3005999997277,44.9742661398747
MN-07,2707,27,07,MN,-95.687040126431,46.5952171850126
MN-03,2703,27,03,MN,-93.5332917677393,45.0006172803709
MN-02,2702,27,02,MN,-92.8493982136956,44.4874820705027
MN-08,2708,27,08,MN,-93.1314437439612,47.2082730351434
MN-01,2701,27,01,MN,-93.7042648072443,43.8866329699125
MN-04,2704,27,04,MN,-92.9786188420021,45.0012552865643
MS-02,2802,28,02,MS,-90.3412319309634,33.2042343309917
MS-04,2804,28,04,MS,-89.0912711845637,31.055485095659
MS-01,2801,28,01,MS,-89.0060408267961,34.1956902239779
MS-03,2803,28,03,MS,-89.7336706120646,32.0155926673171
MO-08,2908,29,08,MO,-90.9324521257464,37.1909324282547
MO-06,2906,29,06,MO,-93.2945667430774,39.9386067719955
MO-05,2905,29,05,MO,-93.7719862579291,39.1435295476699
MO-03,2903,29,03,MO,-91.5567095191889,38.5780781367747
MO-01,2901,29,01,MO,-90.2980754085588,38.725899144575
MO-02,2902,29,02,MO,-90.5354195661007,38.6002960643207
MO-04,2904,29,04,MO,-93.3101698135299,38.2849092037356
MO-07,2907,29,07,MO,-93.6989459853974,36.9888287380334
MT-00,3000,30,00,MT,-109.64303342483,47.0343322225366
NE-03,3103,31,03,NE,-100.232798715011,41.5492610484163
NE-02,3102,31,02,NE,-96.1573177715667,41.2283794367609
NE-01,3101,31,01,NE,-96.8291331891575,41.3779382875366
